Female	Male	Female&&Male	Experimental_Series_II	Experimental_Series_III	Experimental_Series_IV	Experimental_Series_V	Grain_Yield[Mg/ha]	Type
910102	910102	910102	0	0	0	1	8.902496994	Line
910102	sur99820sur186	910102&&sur99820sur186	0	0	0	1	9.778975237	Hybrid
accent	accent	accent	0	0	0	1	8.992795475	Line
accent	malemixlate	accent&&malemixlate	0	0	0	1	9.376061706	Hybrid
advokat	advokat	advokat	0	0	0	1	7.774489584	Line
advokat	nordsaatmix	advokat&&nordsaatmix	0	0	0	1	8.960210773	Hybrid
agriss	agriss	agriss	0	0	0	1	8.261419572	Line
agriss	nordsaatmix	agriss&&nordsaatmix	0	0	0	1	9.437594581	Hybrid
aheloy	aheloy	aheloy	0	0	0	1	6.912946944	Line
aheloy	sur99820sur186	aheloy&&sur99820sur186	0	0	0	1	9.670314816	Hybrid
ahmetaga	ahmetaga	ahmetaga	0	0	0	1	8.592834193	Line
ahmetaga	sur99820sur186	ahmetaga&&sur99820sur186	0	0	0	1	9.475750443	Hybrid
albatros	albatros	albatros	0	0	0	1	8.275486251	Line
albatros	sur99820sur186	albatros&&sur99820sur186	0	0	0	1	9.650267794	Hybrid
alex	alex	alex	0	0	0	1	6.806887388	Line
alex	sur99820sur186	alex&&sur99820sur186	0	0	0	1	9.138745993	Hybrid
alpu	alpu	alpu	0	0	0	1	7.299141344	Line
alpu	malemixearly	alpu&&malemixearly	0	0	0	1	8.921759705	Hybrid
alto	alto	alto	0	0	0	1	7.817830447	Line
alto	sur99820sur186	alto&&sur99820sur186	0	0	0	1	9.114178782	Hybrid
alves	alves	alves	0	0	0	1	9.362106387	Line
alves	nordsaatmix	alves&&nordsaatmix	0	0	0	1	9.888819359	Hybrid
ambello	ambello	ambello	0	0	0	1	9.084179766	Line
apache	agriss	apache&&agriss	0	0	0	1	9.26597654	Hybrid
apache	albatros	apache&&albatros	0	0	0	1	8.072981456	Hybrid
apache	apache	apache	0	0	0	1	9.05077249	Line
apache	chambord	apache&&chambord	0	0	0	1	9.308009132	Hybrid
apache	cleo	apache&&cleo	0	0	0	1	9.248359363	Hybrid
apache	comtal	apache&&comtal	0	0	0	1	8.568731778	Hybrid
apache	gambrinus	apache&&gambrinus	0	0	0	1	8.930404495	Hybrid
apache	hard	apache&&hard	0	0	0	1	9.134697006	Hybrid
apache	hela	apache&&hela	0	0	0	1	8.890067746	Hybrid
apache	lentia	apache&&lentia	0	0	0	1	8.919144756	Hybrid
apache	sur99820sur186	apache&&sur99820sur186	0	0	0	1	10.38962211	Hybrid
apache	tri10054	apache&&tri10054	0	0	0	1	8.408441616	Hybrid
apache	tri10181	apache&&tri10181	0	0	0	1	8.585974837	Hybrid
apache	tri10238	apache&&tri10238	0	0	0	1	7.746956172	Hybrid
apache	tri10398iso	apache&&tri10398iso	0	0	0	1	8.797107572	Hybrid
apache	tri11127iso	apache&&tri11127iso	0	0	0	1	8.500412666	Hybrid
apache	tri11141	apache&&tri11141	0	0	0	1	7.558434336	Hybrid
apache	tri11259iso	apache&&tri11259iso	0	0	0	1	9.197518636	Hybrid
apache	tri11271	apache&&tri11271	0	0	0	1	8.716508426	Hybrid
apache	tri11273	apache&&tri11273	0	0	0	1	6.317748599	Hybrid
apache	tri11638iso	apache&&tri11638iso	0	0	0	1	9.046369665	Hybrid
apache	tri12004iso	apache&&tri12004iso	0	0	0	1	8.734475514	Hybrid
apache	tri12038	apache&&tri12038	0	0	0	1	7.863828854	Hybrid
apache	tri12047iso	apache&&tri12047iso	0	0	0	1	8.971093891	Hybrid
apache	tri12931	apache&&tri12931	0	0	0	1	7.582174405	Hybrid
apache	tri12965	apache&&tri12965	0	0	0	1	7.800004111	Hybrid
apache	tri13028iso	apache&&tri13028iso	0	0	0	1	8.785500906	Hybrid
apache	tri13215	apache&&tri13215	0	0	0	1	8.072022017	Hybrid
apache	tri13220	apache&&tri13220	0	0	0	1	8.76653425	Hybrid
apache	tri13305	apache&&tri13305	0	0	0	1	7.121933719	Hybrid
apache	tri13428iso	apache&&tri13428iso	0	0	0	1	8.767794811	Hybrid
apache	tri13509	apache&&tri13509	0	0	0	1	8.083335326	Hybrid
apache	tri13519	apache&&tri13519	0	0	0	1	7.854266913	Hybrid
apache	tri13590iso	apache&&tri13590iso	0	0	0	1	8.861737738	Hybrid
apache	tri14229	apache&&tri14229	0	0	0	1	9.036527966	Hybrid
apache	tri14852	apache&&tri14852	0	0	0	1	7.972198187	Hybrid
apache	tri16013	apache&&tri16013	0	0	0	1	8.506350384	Hybrid
apache	tri16450	apache&&tri16450	0	0	0	1	7.989348195	Hybrid
apache	tri16576	apache&&tri16576	0	0	0	1	8.287479187	Hybrid
apache	tri16701	apache&&tri16701	0	0	0	1	8.289036574	Hybrid
apache	tri16828iso	apache&&tri16828iso	0	0	0	1	8.284957571	Hybrid
apache	tri17266	apache&&tri17266	0	0	0	1	8.114249201	Hybrid
apache	tri19521	apache&&tri19521	0	0	0	1	8.273149354	Hybrid
apache	tri19594	apache&&tri19594	0	0	0	1	8.651181285	Hybrid
apache	tri19667iso	apache&&tri19667iso	0	0	0	1	8.937684277	Hybrid
apache	tri19860	apache&&tri19860	0	0	0	1	7.855148563	Hybrid
apache	tri19897	apache&&tri19897	0	0	0	1	8.314893394	Hybrid
apache	tri21107iso	apache&&tri21107iso	0	0	0	1	9.09524553	Hybrid
apache	tri21119iso	apache&&tri21119iso	0	0	0	1	8.747391834	Hybrid
apache	tri21139iso	apache&&tri21139iso	0	0	0	1	9.125443249	Hybrid
apache	tri21265iso	apache&&tri21265iso	0	0	0	1	8.950879191	Hybrid
apache	tri22371	apache&&tri22371	0	0	0	1	8.413908796	Hybrid
apache	tri22417	apache&&tri22417	0	0	0	1	7.354608426	Hybrid
apache	tri22527	apache&&tri22527	0	0	0	1	8.345637464	Hybrid
apache	tri22851iso	apache&&tri22851iso	0	0	0	1	9.028960202	Hybrid
apache	tri23191iso	apache&&tri23191iso	0	0	0	1	8.903676368	Hybrid
apache	tri23234	apache&&tri23234	0	0	0	1	8.637519794	Hybrid
apache	tri23308	apache&&tri23308	0	0	0	1	8.607729709	Hybrid
apache	tri23428	apache&&tri23428	0	0	0	1	8.376380911	Hybrid
apache	tri23438	apache&&tri23438	0	0	0	1	7.572752965	Hybrid
apache	tri23467	apache&&tri23467	0	0	0	1	8.955087855	Hybrid
apache	tri23890	apache&&tri23890	0	0	0	1	8.780519331	Hybrid
apache	tri23924	apache&&tri23924	0	0	0	1	8.577139192	Hybrid
apache	tri24607iso	apache&&tri24607iso	0	0	0	1	8.644970569	Hybrid
apache	tri25141iso	apache&&tri25141iso	0	0	0	1	9.2840346	Hybrid
apache	tri29467	apache&&tri29467	0	0	0	1	8.212375003	Hybrid
