ii;yy
colonia;9.288196364
elixer;9.84915645
hybred;9.550333526
hystar;9.786665959
jbasano;9.521635584
julius;9.440661422
kwsloft;9.880424404
lgalpha;9.961677588
rgtreform;9.527334853
rumor;9.486826963
tobak;9.875873005
zf008;9.215473796
zf013;8.711941967
zf040;9.16520101
zf092;9.413562659
zf095;9.68723786
zf152;9.263792291
zf301;9.566535121
zf302;9.317093887
zf304;9.231205857
zf305;9.50924088
zf306;8.809225687
zf307;8.894840046
zf308;9.254229055
zf309;8.8661356
zf310;9.091182411
zf311;8.754682832
zf312;9.325486948
zf313;9.28376539
zf314;9.401651637
zf315;9.261670175
zf316;8.60358098
zf317;9.648612642
zf318;9.722310446
zf319;9.597747951
zf320;9.354185799
zf321;8.471879712
zf322;8.914507637
zf323;8.65522513
zf324;9.795092622
zf325;9.688649558
zf326;9.185673935
zf327;9.168705687
zf328;8.934325181
zf329;9.299882856
zf330;9.978410581
zf331;9.868731471
zf332;9.969137591
zf333;9.990956494
zf334;9.623778631
zf335;9.789160743
zf336;9.611237017
zf337;9.399869248
zf338;9.999915623
zf339;9.713665011
zf341;9.440110941
zf342;10.00981598
zf343;10.21697233
zf344;10.07723729
zf345;10.00530475
zf346;9.601283946
zf347;9.351134681
zf348;10.04388363
zf349;9.999769967
zf350;9.288625487
zf352;9.180452386
zf353;9.798197455
zf356;9.296408422
zf357;9.360161572
zf358;9.362130795
zf359;8.905062558
zf362;9.567971238
zf363;9.8291367
zf364;9.091064772
zf365;8.58994874
zf366;8.831298398
zf367;9.566848104
zf368;9.348404089
zf369;9.570711073
zf370;9.168515559
zf371;8.93268432
zf372;8.667228724
zf373;9.567813695
zf374;9.418836
zf375;8.65824552
zf376;8.159824364
zf378;9.18687115
zf379;9.421826705
zf380;9.357563906
zf381;9.693591736
zf382;9.132676331
zf383;9.375049256
zf384;9.560731255
zf385;8.811064763
zf386;9.622181154
zf387;9.43071804
zf388;10.24124006
zf389;9.430016743
zf390;9.479844019
zf391;9.752321561
zf392;9.506168388
zf393;10.08218136
zf394;9.792994937
zf395;9.110839172
zf396;10.50256553
zf397;9.842727657
zf398;9.836555373
zf399;9.969153884
zf400;9.549788717
zf401;9.353948544
zf402;9.921355585
zf403;9.02676562
zf404;9.751513419
zf405;9.666039414
zf406;9.954076683
zf407;10.56170858
zf408;9.88375925
zf409;9.363670617
zf410;9.786517354
zf411;9.344161464
zf412;9.559399478
zf413;8.262822435
zf414;10.10461807
zf415;9.798163134
zf418;9.389718511
zf419;9.279592431
zf420;9.270533004
zf421;9.389549435
zf422;8.856304359
zf423;9.612155822
zf424;9.594793338
zf425;9.570960936
zf426;9.567435257
zf427;9.979436914
zf428;9.460879705
zf429;9.94187237
zf430;9.136521828
zf431;9.775793514
zf432;9.39573711
zf433;8.717175843
zf434;8.773274283
zf435;8.778823388
zf436;8.906622432
zf437;9.016320881
zf438;9.494066525
zf439;9.357615418
zf440;9.834497494
zf441;9.533060454
zf442;9.000189415
zf444;9.258989249
zf445;9.584710034
zf446;9.322222471
zf447;8.963836545
zf448;9.431581633
zf449;8.860531668
zf450;9.463531963
zf451;9.324156194
zf453;9.10229199
zf454;7.551666257
zf455;9.113685881
zf456;9.746332507
zf457;9.037557448
zf458;9.417341387
zf459;9.110364256
zf460;9.012453311
zf461;9.550055988
zf462;9.179064733
zf463;9.139597911
zf464;8.678471311
zf465;9.350602539
zf466;9.689184
zf467;9.365164196
zf468;9.314367209
zf469;9.892264042
zf470;9.448049393
zf471;8.870224784
zf472;9.342072482
zf473;8.824978266
zf474;9.213844245
zf475;9.407779999
zf476;9.310957256
zf477;9.436025217
zf478;9.253653257
zf479;9.293891356
zf480;8.619235564
zf481;9.424981612
zf482;8.820146924
zf483;9.148135014
zf485;7.896288319
zf486;7.934501725
zf487;9.577797039
zf488;9.003751352
zf489;9.545459214
zf490;9.246598142
zf491;9.487197451
zf492;8.538246847
zf493;9.084342678
zf494;9.137548407
zf495;9.802374
zf496;8.55007311
zf497;8.555420386
zf498;9.368830459
zf499;9.117694325
zf500;9.025410943
zm001;9.494169012
zm005;9.67028686
zm009;9.038534723
zm010;8.431365779
zm034;9.215886017
zm303;9.626214381
zm304;9.61186348
zm310;8.877803571
zm312;8.576130823
zm313;9.45176199
zm314;9.162936279
zm315;9.198258002
zm316;9.186815559
zm317;9.044215549
zm318;8.939102289
zm319;9.040360851
zm320;9.234776284
zm321;9.100977936
zm322;9.44545123
zm323;8.869899202
zm324;9.092472422
zm325;9.19860126
zm326;9.03713135
zm327;9.524691595
zm328;8.913369188
zm329;9.058240604
zm330;9.140043355
zm331;8.756653551
zm332;9.351103187
zm333;9.300562919
zm334;9.20379238
zm335;9.341581392
zm336;9.218753337
zm337;9.058787027
zm339;8.915009982
zm340;8.51167154
