name;chrom;pos
IWB1;2;42.0591
IWB16;12;76.1791
IWB28;2;56.3728
IWB28;9;134.8658
IWB50;6;136.4688
IWB53;5;141.8599
IWB71;9;245.6624
IWB88;4;79.6629
IWB90;13;41.1896
IWB105;6;46.9864
IWB113;6;133.5429
IWB135;10;93.4558
IWB162;12;144.4046
IWB163;13;43.8601
IWB164;8;35.9737
IWB167;9;65.6159
IWB180;14;43.1804
IWB186;2;56.8163
IWB197;13;63.996
IWB201;4;98.3551
IWB213;7;118.3463
IWB217;9;33.1433
IWB227;9;47.7106
IWB230;12;119.0979
IWB232;13;77.9601
IWB233;5;99.5625
IWB235;5;178.2871
IWB236;10;74.3674
IWB262;20;11.6456
IWB263;12;184.1601
IWB266;12;76.1791
IWB279;1;77.4403
IWB281;10;68.7854
IWB286;7;131.6066
IWB293;20;72.5086
IWB297;14;76.6099
IWB309;9;180.3317
IWB315;9;27.1432
IWB316;7;139.2649
IWB330;14;58.1007
IWB333;10;86.2689
IWB343;14;94.668
IWB366;3;135.3311
IWB429;9;267.6823
IWB451;14;44.1544
IWB453;10;81.4915
IWB461;8;19.5443
IWB464;13;117.3141
IWB468;5;83.1006
IWB505;20;92.5266
IWB516;9;142.9364
IWB525;1;4.2945
IWB533;8;8.152
IWB544;1;83.4485
IWB575;5;127.7524
IWB599;1;78.2355
IWB599;8;46.7162
IWB616;8;19.5443
IWB619;5;115.6414
IWB626;12;84.1244
IWB633;10;93.7785
IWB644;15;91.5308
IWB653;2;38.0359
IWB657;4;122.9927
IWB672;13;51.2935
IWB694;14;73.1119
IWB709;1;32.6169
IWB778;7;139.2649
IWB835;2;103.0148
IWB836;2;108.5481
IWB841;6;26.0571
IWB842;6;26.0571
IWB843;6;5.7598
IWB846;6;46.9864
IWB872;2;31.9958
IWB874;9;138.0824
IWB906;13;78.47
IWB925;9;134.3799
IWB931;11;8.2899
IWB932;11;10.346
IWB943;16;22.2979
IWB951;9;134.8658
IWB967;10;59.9934
IWB971;12;172.201
IWB973;2;66.2038
IWB982;12;76.1791
IWB985;10;9.0895
IWB986;3;1.9324
IWB990;5;165.4666
IWB1009;15;14.6747
IWB1014;10;87.6979
IWB1028;10;65.6341
IWB1033;6;100.4719
IWB1036;2;73.0623
IWB1043;11;40.3862
IWB1073;8;51.3585
IWB1094;2;106.6896
IWB1099;12;135.6089
IWB1099;19;58.876
IWB1147;15;91.5308
IWB1175;3;76.3929
IWB1190;9;161.8664
IWB1197;13;6.2927
IWB1207;9;132.2038
IWB1211;6;40.095
IWB1248;13;48.0867
IWB1272;12;97.9568
IWB1277;7;156.781
IWB1297;8;24.8738
IWB1314;6;83.0801
IWB1321;4;42.7351
IWB1326;9;21.5181
IWB1339;11;32.0195
IWB1341;8;109.7132
IWB1342;15;91.5308
